x,y
2794.4,2675.1
2704.0,2678.2
2785.9,2681.3
2692.6,2686.9
2683.7,2692.3
2971.1,2709.0
2976.5,2718.6
2985.2,2730.7
2090.3,2731.5
2096.3,2739.4
3173.5,2753.6
3572.4,2809.3
1347.6,3032.0
1313.0,3083.2
1317.5,3092.0
3204.1,3100.0
1322.7,3100.3
3794.9,3108.0
3290.0,3141.8
3284.0,3427.25
3883.82,3151.0
1515.5,3316.5
4196.0,4120.0
4222.5,4120.0
